x,y,z,label
1.3079885,1.2763573,-5.0000954,4
1.8570392,1.371619,-5.7964764,4
-5.601947,4.883668,2.0218635,1
-6.0787106,3.4817247,2.1227987,1
-5.8992662,3.4699411,2.073461,1
1.2164236,4.6212716,-1.1505213,5
0.6465071,4.404069,-1.0365113,5
-1.1004989,4.6043086,-0.7382369,5
-6.1819105,-3.6704693,1.5839682,6
-6.366472,-3.7591467,1.6718863,6
-6.3541055,-3.548968,1.7372977,6
4.947935,0.98168945,-3.9795651,0
4.338225,0.63837135,-4.2074504,0
4.456468,0.64937186,-3.819963,0
-0.67820114,-2.55675,-4.123134,4
-1.1683351,-2.1290543,-3.5800562,4
-0.33557606,-1.4427997,-4.4389133,4
-6.34112,1.1984789,2.0752072,1
-6.4760485,1.7438545,2.219627,1
-6.4070334,1.5260427,2.1200688,1
-2.8556075,-1.331889,0.009828403,5
-3.7243621,-1.4667834,0.23852831,5
-3.881864,-0.7785298,0.34793666,5
-6.689795,-4.1254063,1.6794479,6
-6.8987556,-3.9909794,1.6933653,6
-6.9749084,-3.9540725,1.7074722,6
1.4194452,-6.1074567,0.14158507,0
0.06539775,-6.148366,-0.15500839,0
0.10217052,-6.494821,0.81757474,0
-3.97227,-6.3244762,-2.4046547,3
-2.4015932,-6.684647,-3.4043002,3
-3.2066982,-6.2829533,-3.5184991,3
2.0350955,-0.49325886,-1.5455258,4
2.751209,-0.779128,-1.6794045,4
1.1315714,0.79543483,-1.5948324,4
-5.142948,5.284143,2.046372,1
-5.277774,5.218449,2.0364988,1
-5.4991364,4.9560065,2.1923592,1
0.53915304,6.6622114,-1.6021628,5
-0.25276574,7.110504,-1.2256317,5
-0.15996218,6.8113027,-1.3050174,5
-7.4659715,-1.2966999,2.6471665,6
-7.5031257,-1.1296321,2.7715592,6
-7.5465355,-1.1465727,2.7866864,6
6.851939,-0.12109504,-1.847025,0
5.9787335,0.20767495,-2.4413176,0
6.2067146,0.1378303,-2.498865,0
8.854076,-1.085112,2.3219337,0
8.39382,-2.3817387,4.043047,0
8.690589,-0.93030167,1.8622358,0
-3.4419525,-3.8676229,-3.1314588,3
-2.7817335,-3.18669,-3.5050724,3
-0.8159929,-2.9318185,-4.318212,3
2.5044878,2.9079852,-4.703795,4
1.8953859,3.1429806,-4.590936,4
2.0068688,2.4804575,-4.777278,4
-6.1434693,2.4706547,2.640054,1
-5.845812,3.6114297,2.5111468,1
-5.723599,3.9145389,2.4481044,1
-0.14018156,7.021637,-0.97151434,5
-1.7878773,6.8436775,-0.34744042,5
-1.1985437,7.1120677,-0.59890395,5
-7.3091807,-2.3298001,1.7728056,6
-7.3548784,-2.3129334,2.0570471,6
-7.40485,-2.0984316,2.099907,6
